spotify_id,name,uri,artist,acousticness,danceability,energy,instrumentalness,tempo,valence
34gdSzSmMXOSd4T0PtMzO4,有沒有,spotify:track:34gdSzSmMXOSd4T0PtMzO4,WeiBird,0.172,0.526,0.293,0,113.94,0.213
4JIo8RztBbELr2gWJ5OGK6,Secret Love Song (feat. Jason Derulo),spotify:track:4JIo8RztBbELr2gWJ5OGK6,Little Mix,0.256,0.539,0.643,0,92.962,0.136
3Ct0bL2G2Ki3DvrJQef2vo,Trini Dem Girls,spotify:track:3Ct0bL2G2Ki3DvrJQef2vo,Nicki Minaj,0.207,0.831,0.751,0.00893,109.96,0.312
6YJUNqM5ZomJTrC5peDFXT,Ain't Got Far to Go,spotify:track:6YJUNqM5ZomJTrC5peDFXT,Jess Glynne,0.0033,0.491,0.841,0,143.974,0.615
0sUyqewVzwv0e5tK3hS6vJ,Don't Be so Hard on Yourself,spotify:track:0sUyqewVzwv0e5tK3hS6vJ,Jess Glynne,0.0608,0.571,0.815,0,120.008,0.664
6oO10y1h2VyxJQfomG4CtH,Take Me Home,spotify:track:6oO10y1h2VyxJQfomG4CtH,Jess Glynne,0.292,0.558,0.451,0,150.008,0.238
7BKLCZ1jbUBVqRi2FVlTVw,Closer,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,0.414,0.748,0.524,0,95.01,0.661
1gIKd24bixkgYzuxse32oR,How Deep Is Your Love (2007 Remastered Saturday Night Fever LP Version),spotify:track:1gIKd24bixkgYzuxse32oR,Bee Gees,0.0999,0.63,0.357,0,104.965,0.683
0ILxg725sebcR1w1IjI85I,Lay Me Down - Flume Remix,spotify:track:0ILxg725sebcR1w1IjI85I,Sam Smith,0.551,0.395,0.426,0.0001,114.988,0.406
15O20RQyWJgKrkHID9ynT9,Never Be Like You,spotify:track:15O20RQyWJgKrkHID9ynT9,Flume,0.441,0.443,0.558,0,116.838,0.248
5hpeThtSukQ7R00YS8AKK8,Evening sky,spotify:track:5hpeThtSukQ7R00YS8AKK8,AILEE,0.665,0.596,0.611,0,128.973,0.214
0VmiBICpoixNs63MMydior,손대지마,spotify:track:0VmiBICpoixNs63MMydior,AILEE,0.0256,0.725,0.912,0,110.027,0.607
1H82qDirYZSOEcxSiMIUNu,U&I,spotify:track:1H82qDirYZSOEcxSiMIUNu,AILEE,0.0346,0.65,0.877,0,107.878,0.906
4sk5jpMmS1AiahoYPpnw49,춥다 It’s Cold (feat. Lee Hi),spotify:track:4sk5jpMmS1AiahoYPpnw49,LeeHi,0.514,0.759,0.66,0,111.988,0.425
3HptGweF4xKMiRPlsWZeiU,RE-BYE,spotify:track:3HptGweF4xKMiRPlsWZeiU,AKMU,0.476,0.801,0.608,0,127.958,0.922
7HOpH9FAgS8axilvDU8w6d,200%,spotify:track:7HOpH9FAgS8axilvDU8w6d,AKMU,0.379,0.853,0.638,0,102.06,0.872
5VGaB3oRB4sbE0319THNTu,Somewhere Out There,spotify:track:5VGaB3oRB4sbE0319THNTu,Donald Glover & Danny Pudi,0.149,0.359,0.498,0.000701,149.909,0.125
